count,words
1,unlimited
2,cheap
3,economicaleasiest
4,bargain
5,budget
6,nominal
7,reduced
8,affordable
9,inexpensive
10,financiallylove
11,pocketloving
12,costgood
13,costlygreat
14,buypure
15,reasonable
16,smoothlypurchase
17,flawlesslypurchased
18,purchaseexcellent
19,purchasedlove
20,greatbuy
21,buyalways
22,thankbuy
23,moneybest
24,moneyawesome
25,moneygood
26,moneyhappy
27,goodprice
28,fancy
29,expensive
30,lavish
31,overpriced
32,pricey
33,invaluable
34,excessive
35,unreasonable
36,overpriced
37,charged
38,billing
39,stealing
40,pocketlosing
41,purchasebig
42,costly
43,costterrible
44,irritatingbuy
45,moneypathetic
46,favorite
47,streaming
48,playlist
49,amazing
50,recommended
51,awesome
52,latest
53,membership
54,prefer
55,liked
56,love
57,perfect
58,satisfied
59,refund
60,content
61,happy
62,compensated
63,best
64,underrated
65,excellent
66,quick
67,fantastic
68,angry
69,compatible
70,musichighgreat
71,wonderful
72,music
73,frustrating
74,annoying
75,garbage
76,boring
77,dissappointing
78,bad
79,irritating
80,worst
81,subscriptiondisheartened
82,crazy
83,trash
84,refuse
85,dislike
86,hate
87,missing
88,ridiculous
89,uninstalling
90,furious
91,buffering
92,bother
93,weird
94,cancel
95,shame
96,awful
97,sucky
98,unpleasant
99,workgood
100,stable
101,reliable
102,safe
103,steady
104,secure
105,firm
106,upgraded
107,flawless
108,goodworking
109,operationalgood
110,smooth
111,flawlessly
112,dependable
113,strong
114,trustworthy
115,solid
116,honest
117,robust
118,tough
119,resolved
120,app
121,restart
122,crashing
123,connection
124,glitch
125,noise
126,slow
127,stopping
128,bug
129,unstable
130,erratic
131,broken
132,stuck
133,freeze
134,reinstall
135,dissappear
136,hassle
137,faulty
138,problematic
139,lost
140,forced
141,repeat
142,crappy
143,flawed
144,tricky
145,laggy
146,corrupted
147,corrupt
148,announcement
149,circular
150,commercial
151,endorsement
152,flyer
153,notice
154,plug
155,promotion
156,bulletin
157,notice
158,proclamation
159,warning
160,advertisement
161,advisory
162,alert
163,communication
164,communique
165,declaration
166,information
167,message
168,news
169,release
170,report
171,statement
172,interruption
173,popping
174,spam
175,inconvenient
176,advertisement
177,many
178,ads
179,adds
180,bar
181,annoying
182,pop
183,ad
184,email
185,notification
186,notifications
187,emails
188,push
189,spam
190,spams
